Time_ID,Hour,Minute
1221,1500,08
377,2100,10
1337,1300,53
1187,2200,42
733,1600,59
94,2100,06
472,500,09
442,700,25
1066,2100,51
1270,400,39
823,1400,42
456,1600,34
1005,1400,19
285,700,10
1166,400,02
457,1600,36
1037,600,11
92,400,14
455,1600,28
1063,1500,34
1040,400,12
763,1500,14
873,1400,44
1135,1500,32
926,1100,02
1234,200,13
87,1800,15
1257,1600,02
981,1800,48
1158,1900,27
767,1100,34
1101,800,48
1052,2200,06
332,1600,18
131,1900,26
1346,500,38
289,1600,45
1083,1100,13
1206,200,03
181,1300,19
1093,1700,16
1407,1700,49
1141,2200,17
219,300,00
389,800,35
1318,1100,11
190,200,05
960,2200,31
177,700,30
151,200,29
808,1100,38
850,1000,24
1006,300,57
103,300,47
576,1400,48
253,1300,30
1275,900,46
1405,1100,44
1165,1700,52
1080,1000,56
688,000,29
624,2000,19
1385,1300,24
760,1800,28
1103,2100,32
484,800,23
498,1100,50
518,000,09
296,400,47
279,700,27
1313,1000,46
1163,1800,44
1198,100,36
568,300,49
107,200,19
244,2000,05
434,2200,27
691,1200,37
939,500,03
558,2000,03
467,800,45
152,2100,30
589,2200,49
374,1900,06
307,000,25
1208,700,47
1051,1700,43
520,1200,55
293,1300,40
267,1200,20
1261,200,09
9,200,25
84,1700,45
229,1200,00
1131,1300,17
429,1200,26
695,100,09
948,700,51
348,100,20
720,1800,19
218,1900,30
240,000,15
203,100,26
1230,1100,56
437,800,25
303,1000,40
432,1900,36
327,2200,50
564,2000,28
423,1900,04
872,000,23
466,700,45
592,1300,07
1036,400,57
896,700,57
951,2000,34
52,2000,15
658,900,27
1162,300,34
1029,300,26
774,1000,28
853,100,17
1351,600,41
1045,000,44
67,300,20
839,200,52
1054,600,57
433,2000,48
1197,000,46
1397,900,17
537,1800,22
1292,1200,14
1194,900,37
490,600,40
1225,200,48
1137,800,49
775,1200,41
1350,1000,01
486,1300,50
101,1200,16
284,200,15
991,1700,02
1293,2000,09
992,1700,27
413,2300,08
1146,2300,21
897,600,08
268,2300,55
1111,2300,33
246,900,00
1287,1600,51
1307,500,46
545,1700,37
1114,1700,21
1015,100,44
961,2300,23
1400,400,31
1224,600,27
147,2000,52
283,000,58
975,600,21
906,1500,42
1273,200,23
1178,1000,36
503,2300,35
64,1700,19
463,100,56
460,2100,58
818,2300,58
993,1900,51
1241,1600,12
869,500,26
749,1400,17
1431,600,36
621,1400,07
543,900,57
482,1500,53
666,100,58
356,1900,45
919,1400,21
1401,800,37
1195,2300,39
88,1400,23
25,2300,19
1082,600,12
495,1900,10
1026,1500,31
416,1700,35
385,1600,10
477,900,49
21,500,30
891,1500,51
918,400,24
736,1400,09
415,500,13
710,1600,26
636,2100,43
1378,1500,16
756,2100,41
1115,2300,41
881,700,14
1188,900,47
696,1500,04
417,500,50
392,1500,10
430,1400,40
1320,700,02
512,400,10
571,900,45
678,1400,37
40,200,20
405,1800,50
89,200,22
1078,1600,47
728,2200,14
829,1800,52
422,1800,01
900,2000,22
878,1600,37
444,1100,20
473,1600,31
223,1100,00
1011,1100,22
1280,2300,56
618,2100,04
479,2100,02
1044,2100,38
642,1200,28
813,900,51
686,2200,08
99,300,45
1143,1300,32
17,800,02
445,1800,07
935,1300,34
598,2200,29
1171,1300,46
350,1100,15
940,200,01
201,2200,35
803,000,17
1430,700,08
209,800,00
957,1800,17
42,2200,48
321,2000,20
1434,700,59
893,1800,11
301,300,15
354,1800,05
989,2100,13
884,800,57
740,300,28
510,2100,36
670,800,55
1003,200,42
667,1200,25
1092,1000,58
1277,2200,39
508,1800,38
1364,800,41
867,1700,59
44,1300,44
252,200,40
207,000,00
136,2200,25
129,000,02
953,1200,39
735,800,47
663,2200,23
712,2100,08
843,2000,49
832,000,47
409,1200,18
134,000,21
53,700,43
368,1700,34
1035,000,41
1154,100,12
1333,1200,04
487,1700,47
516,1900,18
990,1100,58
76,2000,00
860,400,49
1022,1000,44
260,100,24
694,2100,24
978,1100,52
1279,800,21
407,400,55
1046,300,19
859,000,37
1124,000,19
1289,700,53
625,100,03
685,1200,08
386,1900,29
379,900,05
281,2000,17
341,1000,15
