date,crimes
05/19/2015,66
05/20/2015,48
05/21/2015,65
05/22/2015,94
05/23/2015,74
05/24/2015,73
05/25/2015,67
05/26/2015,57
05/27/2015,67
05/28/2015,63
05/29/2015,80
05/30/2015,68
05/31/2015,71
06/01/2015,77
06/02/2015,64
06/03/2015,70
06/04/2015,78
06/05/2015,49
06/06/2015,77
06/07/2015,66
06/08/2015,62
06/09/2015,71
06/10/2015,62
06/11/2015,74
06/12/2015,76
06/13/2015,67
06/14/2015,60
06/15/2015,76
06/16/2015,77
06/17/2015,80
06/18/2015,75
06/19/2015,64
06/20/2015,86
06/21/2015,80
06/22/2015,80
06/23/2015,66
06/24/2015,80
06/25/2015,67
06/26/2015,67
06/27/2015,70
06/28/2015,64
06/29/2015,83
06/30/2015,70
07/01/2015,76
07/02/2015,77
07/03/2015,71
07/04/2015,71
07/05/2015,109
07/06/2015,70
07/07/2015,68
07/08/2015,70
07/09/2015,76
07/10/2015,82
07/11/2015,72
07/12/2015,75
07/13/2015,87
07/14/2015,78
07/15/2015,82
07/16/2015,65
07/17/2015,67
07/18/2015,74
07/19/2015,85
07/20/2015,76
07/21/2015,78
07/22/2015,86
07/23/2015,75
07/24/2015,72
07/25/2015,70
07/26/2015,77
07/27/2015,96
07/28/2015,85
07/29/2015,53
07/30/2015,55
07/31/2015,66
08/01/2015,80
08/02/2015,80
08/03/2015,72
08/04/2015,63
08/05/2015,73
08/06/2015,74
08/07/2015,96
08/08/2015,69
08/09/2015,89
08/10/2015,66
08/11/2015,71
08/12/2015,78
08/13/2015,86
08/14/2015,69
08/15/2015,73
08/16/2015,100
08/17/2015,72
08/18/2015,72
08/19/2015,61
08/20/2015,84
08/21/2015,81
08/22/2015,83
08/23/2015,85
08/24/2015,67
08/25/2015,73
08/26/2015,94
08/27/2015,76
08/28/2015,73
08/29/2015,82
08/30/2015,61
08/31/2015,71
09/01/2015,69
09/02/2015,68
09/03/2015,80
09/04/2015,80
09/05/2015,71
09/06/2015,70
09/07/2015,77
09/08/2015,62
09/09/2015,61
09/10/2015,55
09/11/2015,53
09/12/2015,47
09/13/2015,79
09/14/2015,94
09/15/2015,74
09/16/2015,79
09/17/2015,81
09/18/2015,72
09/19/2015,87
09/20/2015,79
09/21/2015,54
09/22/2015,74
09/23/2015,79
09/24/2015,64
09/25/2015,74
09/26/2015,85
09/27/2015,86
09/28/2015,72
09/29/2015,74
09/30/2015,51
10/01/2015,73
10/02/2015,78
10/03/2015,63
10/04/2015,64
10/05/2015,75
10/06/2015,73
10/07/2015,53
10/08/2015,70
10/09/2015,70
10/10/2015,70
10/11/2015,80
10/12/2015,56
10/13/2015,71
10/14/2015,79
10/15/2015,74
10/16/2015,75
10/17/2015,86
10/18/2015,49
10/19/2015,73
10/20/2015,76
10/21/2015,72
10/22/2015,66
10/23/2015,72
10/24/2015,60
10/25/2015,87
10/26/2015,79
10/27/2015,56
10/28/2015,52
10/29/2015,61
10/30/2015,57
10/31/2015,68
11/01/2015,88
11/02/2015,66
11/03/2015,55
11/04/2015,71
11/05/2015,66
11/06/2015,70
11/07/2015,68
11/08/2015,65
11/09/2015,57
11/10/2015,55
11/11/2015,44
11/12/2015,51
11/13/2015,71
11/14/2015,62
11/15/2015,62
11/16/2015,80
11/17/2015,54
11/18/2015,63
11/19/2015,61
11/20/2015,72
11/21/2015,51
11/22/2015,34
11/23/2015,49
11/24/2015,47
11/25/2015,67
11/26/2015,54
11/27/2015,69
11/28/2015,57
11/29/2015,62
11/30/2015,61
12/01/2015,50
12/02/2015,66
12/03/2015,74
12/04/2015,66
12/05/2015,56
12/06/2015,62
12/07/2015,70
12/08/2015,66
12/09/2015,61
12/10/2015,57
12/11/2015,79
12/12/2015,66
12/13/2015,94
12/14/2015,76
12/15/2015,79
12/16/2015,80
12/17/2015,62
12/18/2015,67
12/19/2015,57
12/20/2015,57
12/21/2015,54
12/22/2015,80
12/23/2015,61
12/24/2015,67
12/25/2015,54
12/26/2015,60
12/27/2015,63
12/28/2015,40
12/29/2015,57
12/30/2015,53
12/31/2015,55
