Location_ID,Lattitude,Longitude
284,41.795242798,-87.654893803
285,41.970609768,-87.71953979
286,41.91068922,-87.695774944
287,41.757614433,-87.586115266
288,41.869790358,-87.770599257
289,41.755501774,-87.636855678
290,41.847396072,-87.678731657
291,41.975743027,-87.752548319
292,41.7797436,-87.609565055
293,41.882831487,-87.633855122
294,41.881713034,-87.75327943
295,41.88360569,-87.707634031
296,41.879734548,-87.644056852
297,41.705042318,-87.648771375
298,41.845267108,-87.626953617
299,41.898351661,-87.733565727
300,41.766162203,-87.571383105
301,41.894301538,-87.721156134
302,41.747318382,-87.562521662
303,41.935335627,-87.655153142
304,41.984830363,-87.713437327
305,41.766159187,-87.65171433
306,41.753906366,-87.611358003
307,41.890728191,-87.68266361
308,41.996254158,-87.700807641
309,41.797464447,-87.729409683
310,41.703302989,-87.708608815
311,41.873981228,-87.751946738
312,41.976229855,-87.791500882
313,41.917532812,-87.750952708
314,41.903906616,-87.63105739
315,41.80334033,-87.624307781
316,41.853930752,-87.623841071
317,41.879285729,-87.641524294
318,41.784507232,-87.661914922
319,41.969042448,-87.658358932
320,41.793960961,-87.58840695
321,41.97636199,-87.793919639
322,41.809996795,-87.616604776
323,41.898192554,-87.641816138
324,41.787031282,-87.709498
325,41.840893362,-87.645134428
326,41.758090343,-87.633807628
327,41.799978827,-87.606344711
328,42.014467496,-87.687530749
329,41.893649369,-87.714169216
330,41.788951166,-87.699765805
331,41.790872026,-87.606143261
332,41.815224411,-87.68588989
333,41.914144227,-87.635827967
334,41.897909836,-87.72005647
335,41.92384641,-87.646521939
336,41.75370196,-87.650185959
337,41.84530612,-87.707497201
338,41.896620292,-87.632341979
339,41.975576848,-87.796783744
340,41.705955597,-87.648673795
341,41.768571856,-87.726161646
342,41.937941904,-87.7173502
343,41.938719379,-87.816547044
344,41.902201619,-87.645427869
345,41.947746095,-87.807093042
346,41.737017804,-87.690347244
347,41.94360281,-87.650331196
348,41.89771322,-87.721266802
349,41.870972499,-87.704361047
350,41.886288459,-87.769969735
351,41.905220087,-87.674886559
352,41.886342657,-87.711852679
353,41.865332001,-87.624104181
354,41.814575995,-87.727502825
355,41.957373784,-87.721986708
356,41.884771718,-87.755227496
357,41.910540251,-87.64341693
358,41.972594132,-87.684173552
359,41.752563264,-87.58333363
360,41.727771971,-87.659183296
361,41.908190024,-87.674047826
362,41.950690132,-87.739479179
363,41.756617188,-87.562688944
364,41.767685849,-87.5698145
365,41.871026371,-87.684934224
366,41.915370126,-87.79009807
367,41.875066021,-87.741362098
368,41.938290021,-87.787801241
369,41.800863342,-87.664766276
370,41.899860937,-87.716460079
371,41.873875151,-87.687413227
372,41.858594819,-87.627214427
373,41.886792633,-87.743046023
374,41.968238815,-87.728336238
375,41.906468353,-87.765810163
376,41.79994041,-87.606345145
377,41.886674399,-87.746212783
378,41.762166567,-87.566441838
379,41.931415764,-87.755276911
380,41.885888079,-87.627942238
381,41.929672072,-87.750173464
382,41.864246754,-87.710480757
383,41.9206596,-87.740444827
384,41.75224293,-87.621410836
385,41.917832929,-87.727802149
386,41.788796147,-87.709550561
387,41.841622651,-87.617191438
388,41.737506277,-87.671018666
389,41.786986441,-87.620645234
390,41.87847545,-87.737853246
391,41.69203308,-87.621042638
392,41.911136255,-87.770820396
393,41.899621011,-87.724984242
394,41.845615296,-87.71238279
395,41.892297367,-87.744071471
396,41.895925591,-87.647728405
397,41.894929671,-87.625157838
398,41.889834629,-87.626657467
399,41.760686518,-87.577074069
400,41.903890702,-87.632045722
