Location_ID,Latitude,Longitude
92,42.32283635,-71.10382955
93,42.29040636,-71.05115457
94,42.30593136,-71.05759957
95,42.34445634,-71.06560956
96,42.35926134,-71.05417956
97,42.36913134,-71.03973957
98,42.29476483,-71.08204862
99,42.24810096,-71.13259159
100,42.35061784,-71.12851965
101,42.26867137,-71.09379956
102,42.35047863,-71.13290212
103,42.35313135,-71.13851453
104,42.32114205,-71.09089327
105,42.33560574,-71.03656954
106,42.35170634,-71.06118456
107,42.33399593,-71.07639912
108,42.36469134,-71.06261956
109,42.25332425,-71.12466158
110,42.32723569,-71.08059616
111,42.35634134,-71.06208456
112,42.29041636,-71.07270956
113,42.32978135,-71.07442956
114,42.31787135,-71.08912955
115,42.37956634,-71.03879457
116,42.34315135,-71.07312956
117,42.32257748,-71.07284193
118,42.31617349,-71.08920463
119,42.27931764,-71.12993814
120,42.33218135,-71.05346456
121,42.32779635,-71.05437456
122,42.30548136,-71.10841955
123,42.35164135,-71.07485456
124,42.34238635,-71.07948956
125,42.32858135,-71.05497456
126,42.29173624,-71.11528811
127,42.35057135,-71.07881456
128,42.37750134,-71.03812957
129,42.27377636,-71.09348455
130,42.27970636,-71.11834954
131,42.37619134,-71.03980956
132,42.28837819,-71.08614367
133,42.34491393,-71.09641336
134,42.24662137,-71.11893955
135,42.33763635,-71.07590956
136,42.30524136,-71.08473956
137,42.27648603,-71.09135119
138,42.25862165,-71.12519913
139,42.32731635,-71.06731956
140,42.33481135,-71.03741957
141,42.32020071,-71.06091491
142,42.34846635,-71.08665456
143,42.36028259,-71.06362866
144,42.28537261,-71.0835041
145,42.33954135,-71.05201456
146,42.31663333,-71.09171255
147,42.35647634,-71.05929456
148,42.32957067,-71.09357194
149,42.32454196,-71.08825956
150,42.32937538,-71.08474665
151,42.26834713,-71.12790504
152,42.35991634,-71.06638956
153,42.34449135,-71.06924455
154,42.35160304,-71.1190792
155,42.32042135,-71.07776956
156,42.32902662,-71.08341206
157,42.3727862,-71.0390398
158,42.35312135,-71.12820454
159,42.36949634,-71.03745457
160,42.32501543,-71.05924631
161,42.32749583,-71.05531204
162,42.34505135,-71.14232954
163,42.37490134,-71.03870957
164,42.33455599,-71.07818596
165,42.32062135,-71.07503956
166,42.26772046,-71.1270953
167,42.34809134,-71.06420956
168,42.28242942,-71.09448186
169,42.26855843,-71.12593871
170,42.28928136,-71.07583456
171,42.33807635,-71.03901457
172,42.34390634,-71.07427455
173,42.29467136,-71.05013957
174,42.23779137,-71.13158955
175,42.36218134,-71.06223957
176,42.29473195,-71.0850362
177,42.31139811,-71.07965203
178,42.30972244,-71.10427304
179,42.33325635,-71.07289955
180,42.28203636,-71.13233954
181,42.27622636,-71.13938954
182,42.28403136,-71.12686454
183,42.32540686,-71.0880266
184,42.28846636,-71.08147456
185,42.27080515,-71.09260083
186,42.31282136,-71.06476957
187,42.28405295,-71.11241077
188,42.38395134,-71.01662958
189,42.28413251,-71.06958228
190,42.30537135,-71.06322956
191,42.25560136,-71.12415455
192,42.32888135,-71.08506956
193,42.32997135,-71.08690455
194,42.23958637,-71.13990954
195,42.34470431,-71.02941573
196,42.33315135,-71.05246456
197,42.33547635,-71.04453957
198,42.34429134,-71.03432457
199,42.35540135,-71.06046957
200,42.34968634,-71.05768456
201,42.38335634,-71.07895956
202,42.30993135,-71.08143955
203,42.35586683,-71.05996907
204,42.34231635,-71.07330956
205,42.35779634,-71.05416456
206,42.37169134,-71.03357457
207,42.35705634,-71.05727456
208,42.35075635,-71.07485456
209,42.32423635,-71.09035955
210,42.30782635,-71.11547454
211,42.28717136,-71.12335954
212,42.30065635,-71.08325955
213,42.26629358,-71.12464643
214,42.3253658,-71.10662242
215,42.30089405,-71.07427992
216,42.33323135,-71.10919955
217,42.25549136,-71.12617954
218,42.36115668,-71.06254825
219,42.25629137,-71.12721453
220,42.31562668,-71.09825321
221,42.2846063,-71.15985461
222,42.34397135,-71.09635955
223,42.34215135,-71.08407956
224,42.34553135,-71.08777955
225,42.35035635,-71.07631956
226,42.31576135,-71.08314456
227,42.33503135,-71.08240455
228,42.31934635,-71.11176955
229,42.31885635,-71.09931955
230,42.34258135,-71.07418456
231,42.31679208,-71.07962644
232,42.33710635,-71.04685957
233,42.3298129,-71.0925768
234,42.34085635,-71.08781455
235,42.35810135,-71.12757454
236,42.29653136,-71.07477956
237,42.30542136,-71.08057956
238,42.33258135,-71.10026955
239,42.35073634,-71.04338956
240,42.29857846,-71.06591619
241,42.27265948,-71.12224949
242,42.27621136,-71.14656954
243,42.37639134,-71.05985956
244,42.35490135,-71.13419954
245,42.35895135,-71.05592957
246,42.30977135,-71.08502956
247,42.29144136,-71.11787454
248,42.31709635,-71.07803456
249,42.26106588,-71.11936774
250,42.35140134,-71.06802956
251,42.29446666,-71.0642023
252,42.30326635,-71.06364956
253,42.28793136,-71.16574953
254,42.35158421,-71.12864024
255,42.31892135,-71.05481956
256,42.30573779,-71.10936824
257,42.29348053,-71.07346187
258,42.31634635,-71.05334956
259,42.38857295,-71.008632
260,42.30751635,-71.06562956
261,42.29383635,-71.06124956
262,42.29490635,-71.05944456
263,42.2835683,-71.09354788
264,42.31813635,-71.06763956
265,42.28486136,-71.09132455
266,42.34421135,-71.09907955
267,42.34912475,-71.06648029
268,42.36638634,-71.05601456
269,42.36125134,-71.06088957
