Location_ID,Latitude,Longitude
85,39.730226,-104.941075
86,39.733964,-104.9754214
87,39.7328302,-104.9662564
88,39.7418975,-104.986553
89,39.7334203,-104.9878524
90,39.7566202,-104.9796339
91,39.7859229,-104.8112325
92,39.7673396,-104.8638083
93,39.76092,-104.9663165
94,39.7931919,-104.8277802
95,39.7404757,-104.9254287
96,39.7002156,-104.9082195
97,39.7065164,-104.9248715
98,39.6597637,-105.0299291
99,39.660673,-105.0583917
100,39.6542994,-105.06605
101,39.674185,-104.9891372
102,39.7492102,-104.9959097
103,39.6595532,-104.892916
104,39.6620131,-104.8987947
105,39.7517305,-104.9946682
106,39.7007514,-104.9277264
107,39.782863,-104.7664008
108,39.7340534,-104.9844628
109,39.7854295,-104.9911374
110,39.6417574,-105.0510856
111,39.7489203,-105.0124669
112,39.7162155,-104.9512928
113,39.7135724,-104.9879582
114,39.7206781,-104.9900784
115,39.7571388,-104.9789613
116,39.7111576,-104.9875777
117,39.7338648,-104.9935168
118,39.7384365,-104.9835949
119,39.7345564,-104.9865
120,39.7817876,-104.9996854
121,39.7071574,-105.0240917
122,39.78198,-105.0016979
123,39.718516,-104.9871933
124,39.7547615,-104.9979256
125,39.7375388,-104.9496717
126,39.7375378,-104.9979529
127,39.7490831,-104.9970131
128,39.7591643,-104.9850856
129,39.851926,-104.6740484
130,39.6377797,-104.9041863
131,39.7424015,-104.9653443
132,39.747765,-104.9056524
133,39.7671833,-105.008249
134,39.7399751,-104.9570312
135,39.6972453,-105.0271228
136,39.7519878,-104.9336105
137,39.7399551,-104.9713228
138,39.7402928,-104.9750113
139,39.7770374,-104.8800366
140,39.6798043,-104.9379129
141,39.7881043,-104.7350101
142,39.6874928,-104.9869048
143,39.7722916,-104.7590511
144,39.7339566,-104.9989101
145,39.7430173,-104.9796032
146,39.7011835,-104.9874764
147,39.7586331,-104.9729924
148,39.6866742,-104.9886625
149,39.7692035,-104.9020021
150,39.759063,-104.9097183
151,39.663474,-105.0220967
152,39.7640708,-104.9858819
153,39.7658751,-104.9797928
154,39.7357942,-104.9826508
155,39.678829,-105.035184
156,39.675642,-105.0229376
157,39.6796232,-105.0110261
158,39.7436306,-104.9688057
159,39.6754994,-105.0182561
160,39.7818473,-104.9786424
161,39.6279573,-104.9097407
162,39.6775296,-104.9725283
163,39.7268722,-104.9921381
164,39.7504273,-104.9974161
165,39.7665407,-104.9745231
166,39.7449777,-104.9928747
167,39.6722056,-104.9602517
168,39.7535834,-104.9940111
169,39.7341342,-104.9265829
170,39.755322,-104.9803371
171,39.7805813,-104.8915832
172,39.6337739,-105.0909527
173,39.7736094,-104.9410813
174,39.7508239,-104.9970718
175,39.7619133,-104.9175875
176,39.7369933,-104.9480794
177,39.6787755,-104.9866842
178,39.7980362,-104.7576649
179,39.7233613,-105.0012077
180,39.7603253,-105.024179
181,39.7570935,-104.9284012
182,39.7356853,-105.0251925
183,39.7061708,-104.86925
